city,month,seasonal_factor,trust_week,declared_hourly_rate,claims_last_month,years_on_platform,flood_risk_score,heat_risk_score,ward_disruption_freq,city_median_hourly,city_base_premium,weekly_premium
chennai,3,0.9,5,39.43,2,1.01,0.855,0.437,0.084,62,95,101.58
delhi,6,1.5,9,58.83,3,2.29,0.232,0.492,0.074,60,85,120.0
chennai,9,1.0,5,43.77,4,4.07,0.873,0.438,0.043,62,95,110.22
delhi,2,0.8,1,46.14,1,2.94,0.332,0.76,0.081,60,85,70.64
bangalore,8,1.3,5,76.6,2,4.32,0.5,0.304,0.078,58,80,112.74
bangalore,7,1.5,5,62.45,1,3.41,0.227,0.201,0.05,58,80,117.07
pune,9,1.0,1,50.88,3,4.66,0.15,0.253,0.02,55,65,74.99
delhi,9,1.0,1,62.81,1,3.97,0.453,0.577,0.071,60,85,94.04
chennai,11,0.7,1,60.59,0,1.1,0.787,0.561,0.091,62,95,70.53
pune,3,0.9,1,53.52,3,3.38,0.226,0.211,0.0,55,65,66.01
pune,6,1.5,5,75.72,4,2.22,0.201,0.092,0.003,55,65,106.13
pune,2,0.8,9,61.95,2,1.09,0.247,0.165,0.024,55,65,60.0
delhi,6,1.5,1,52.66,3,3.0,0.46,0.733,0.076,60,85,120.0
delhi,11,0.7,5,67.63,1,2.56,0.386,0.74,0.085,60,85,63.49
mumbai,7,1.5,1,72.89,0,2.84,0.658,0.222,0.117,65,100,120.0
pune,5,1.3,9,70.98,7,2.05,0.136,0.272,0.066,55,65,92.27
chennai,5,1.3,5,71.86,1,1.01,0.629,0.417,0.086,62,95,120.0
pune,0,0.7,1,68.2,3,3.47,0.191,0.277,0.031,55,65,60.0
chennai,7,1.5,1,60.69,2,4.59,0.869,0.411,0.101,62,95,120.0
mumbai,10,0.8,1,77.93,0,1.02,0.69,0.157,0.1,65,100,97.13
bangalore,6,1.5,1,53.2,2,3.74,0.409,0.285,0.049,58,80,120.0
pune,4,0.9,1,62.52,2,1.94,0.275,0.118,0.041,55,65,60.24
delhi,6,1.5,1,76.16,1,2.03,0.364,0.903,0.05,60,85,120.0
chennai,1,0.7,5,60.23,2,0.47,0.595,0.484,0.125,62,95,80.16
delhi,2,0.8,5,54.87,0,2.43,0.215,0.899,0.068,60,85,69.03
chennai,1,0.7,1,68.12,1,3.03,0.798,0.45,0.084,62,95,85.36
mumbai,3,0.9,5,68.61,2,1.41,0.706,0.107,0.107,65,100,105.17
chennai,0,0.7,9,64.88,0,0.27,0.647,0.484,0.071,62,95,74.89
delhi,0,0.7,1,51.15,2,2.09,0.447,0.693,0.045,60,85,73.58
pune,1,0.7,1,74.76,2,1.81,0.184,0.2,0.043,55,65,60.0
delhi,6,1.5,1,66.52,4,1.48,0.222,0.717,0.078,60,85,120.0
mumbai,2,0.8,9,62.71,1,1.96,0.762,0.22,0.068,65,100,89.65
bangalore,10,0.8,1,84.84,2,2.78,0.367,0.263,0.072,58,80,68.48
delhi,3,0.9,1,65.22,4,4.53,0.505,0.703,0.062,60,85,93.85
pune,3,0.9,1,30.0,0,2.34,0.317,0.012,0.035,55,65,60.0
pune,2,0.8,5,62.33,0,1.03,0.196,0.139,0.057,55,65,60.0
bangalore,5,1.3,5,68.16,4,4.69,0.196,0.318,0.098,58,80,109.09
pune,9,1.0,9,44.42,0,3.72,0.153,0.159,0.068,55,65,60.63
bangalore,5,1.3,1,56.58,3,0.97,0.385,0.149,0.027,58,80,113.39
mumbai,9,1.0,1,57.57,3,2.02,0.95,0.279,0.075,65,100,120.0
chennai,8,1.3,9,56.41,3,2.23,0.577,0.376,0.055,62,95,120.0
bangalore,9,1.0,1,67.11,3,4.47,0.221,0.329,0.025,58,80,82.45
mumbai,1,0.7,1,70.46,0,4.69,0.968,0.273,0.121,65,100,79.07
bangalore,8,1.3,1,41.66,1,0.85,0.178,0.307,0.06,58,80,109.33
pune,9,1.0,9,53.87,4,1.66,0.185,0.311,0.05,55,65,68.03
pune,8,1.3,1,63.97,4,2.96,0.187,0.345,0.013,55,65,88.24
delhi,1,0.7,9,62.95,1,4.03,0.596,0.731,0.048,60,85,64.95
bangalore,9,1.0,5,53.74,2,1.85,0.15,0.263,0.056,58,80,82.38
chennai,5,1.3,1,52.96,3,3.58,0.711,0.571,0.069,62,95,120.0
chennai,1,0.7,1,64.82,2,0.4,0.706,0.492,0.084,62,95,90.6
mumbai,1,0.7,1,69.45,1,1.86,0.648,0.238,0.096,65,100,81.08
delhi,8,1.3,1,60.01,7,3.09,0.4,0.622,0.071,60,85,120.0
mumbai,1,0.7,9,90.59,1,3.39,0.711,0.198,0.08,65,100,73.7
delhi,7,1.5,9,75.58,3,2.01,0.291,0.662,0.094,60,85,120.0
delhi,0,0.7,9,77.06,2,1.01,0.497,0.628,0.075,60,85,70.15
bangalore,0,0.7,1,56.12,2,4.95,0.245,0.4,0.047,58,80,60.0
chennai,1,0.7,5,63.23,2,3.31,0.745,0.473,0.101,62,95,72.77
delhi,7,1.5,1,69.79,2,4.06,0.518,0.505,0.067,60,85,120.0
pune,0,0.7,9,48.38,3,4.01,0.13,0.114,0.043,55,65,60.0
mumbai,6,1.5,1,77.66,3,2.92,0.787,0.406,0.086,65,100,120.0
delhi,8,1.3,1,69.23,2,1.52,0.354,0.57,0.091,60,85,120.0
mumbai,8,1.3,1,56.59,3,4.84,0.76,0.33,0.104,65,100,120.0
delhi,8,1.3,1,51.83,7,2.36,0.509,0.451,0.075,60,85,120.0
bangalore,4,0.9,9,79.63,2,1.9,0.28,0.16,0.054,58,80,73.29
chennai,5,1.3,1,69.26,2,3.35,0.662,0.366,0.129,62,95,120.0
mumbai,1,0.7,5,57.04,0,3.87,0.647,0.158,0.105,65,100,71.22
mumbai,2,0.8,5,38.18,3,0.81,0.731,0.423,0.093,65,100,99.41
mumbai,5,1.3,5,37.64,3,0.12,0.849,0.24,0.07,65,100,120.0
bangalore,7,1.5,1,47.61,4,1.53,0.476,0.445,0.057,58,80,120.0
mumbai,4,0.9,1,62.24,0,1.13,0.704,0.008,0.064,65,100,101.36
bangalore,7,1.5,1,51.59,3,4.42,0.434,0.222,0.041,58,80,120.0
mumbai,8,1.3,5,59.75,2,2.09,0.868,0.151,0.074,65,100,120.0
delhi,4,0.9,1,31.91,2,2.08,0.445,0.723,0.061,60,85,96.38
pune,10,0.8,5,54.39,2,4.56,0.146,0.247,0.06,55,65,60.0
mumbai,9,1.0,5,60.88,0,0.77,0.847,0.087,0.115,65,100,119.71
chennai,5,1.3,1,59.84,5,4.98,0.673,0.529,0.069,62,95,120.0
chennai,8,1.3,1,44.72,4,1.08,0.659,0.537,0.071,62,95,120.0
bangalore,0,0.7,1,36.48,2,0.65,0.295,0.326,0.049,58,80,63.4
chennai,4,0.9,1,67.06,2,3.43,0.732,0.516,0.089,62,95,106.05
pune,11,0.7,1,61.41,1,3.68,0.022,0.157,0.004,55,65,60.0
bangalore,0,0.7,1,54.21,4,1.89,0.311,0.246,0.073,58,80,68.34
mumbai,11,0.7,1,71.13,0,4.53,0.698,0.124,0.076,65,100,73.55
chennai,2,0.8,9,76.04,1,4.01,0.701,0.546,0.057,62,95,82.35
delhi,11,0.7,9,60.04,1,3.78,0.348,0.764,0.048,60,85,61.92
pune,4,0.9,1,30.0,3,2.05,0.27,0.232,0.019,55,65,63.82
chennai,7,1.5,1,58.12,2,1.31,0.673,0.477,0.086,62,95,120.0
pune,6,1.5,5,68.9,6,4.41,0.201,0.199,0.019,55,65,101.37
bangalore,11,0.7,1,71.17,3,0.65,0.101,0.21,0.041,58,80,62.07
chennai,8,1.3,9,53.53,1,0.5,0.643,0.667,0.071,62,95,120.0
chennai,4,0.9,5,51.32,1,2.96,0.589,0.46,0.08,62,95,96.79
pune,3,0.9,1,52.9,3,4.79,0.243,0.359,0.021,55,65,60.24
pune,5,1.3,5,45.46,3,3.19,0.204,0.295,0.044,55,65,89.75
pune,1,0.7,1,76.11,2,3.08,0.08,0.3,-0.005,55,65,60.0
mumbai,8,1.3,5,88.15,1,4.06,0.79,0.39,0.097,65,100,120.0
pune,7,1.5,1,65.2,4,1.97,0.235,0.328,0.023,55,65,109.74
mumbai,3,0.9,9,81.31,1,2.88,0.663,0.277,0.112,65,100,104.08
mumbai,7,1.5,9,70.65,4,1.88,0.787,0.193,0.086,65,100,120.0
chennai,5,1.3,1,72.77,3,4.53,0.728,0.411,0.076,62,95,120.0
pune,1,0.7,9,41.08,1,3.48,0.294,0.174,0.041,55,65,60.0
bangalore,3,0.9,5,75.07,0,2.89,0.495,0.349,0.035,58,80,78.52
delhi,10,0.8,5,57.22,2,3.31,0.19,0.472,0.082,60,85,70.17
mumbai,6,1.5,1,73.89,3,0.88,0.702,0.069,0.115,65,100,120.0
bangalore,10,0.8,1,63.25,2,2.31,0.302,0.299,0.054,58,80,72.03
delhi,8,1.3,1,66.19,1,4.64,0.404,0.621,0.078,60,85,120.0
pune,6,1.5,5,53.31,3,0.16,0.247,0.31,0.032,55,65,103.74
delhi,7,1.5,5,47.27,6,0.99,0.309,0.647,0.068,60,85,120.0
chennai,4,0.9,1,64.78,0,1.97,0.654,0.601,0.086,62,95,100.37
mumbai,11,0.7,1,76.97,1,0.69,0.62,0.073,0.101,65,100,75.82
bangalore,3,0.9,1,66.18,2,4.47,0.204,0.326,0.068,58,80,74.7
pune,4,0.9,5,39.88,1,4.77,0.229,0.182,0.009,55,65,60.0
chennai,5,1.3,1,67.07,3,4.81,0.812,0.565,0.082,62,95,120.0
mumbai,2,0.8,5,63.46,1,1.26,0.764,0.161,0.1,65,100,95.3
chennai,0,0.7,5,58.36,1,2.87,0.651,0.604,0.097,62,95,75.34
delhi,9,1.0,1,44.33,3,2.37,0.413,0.75,0.047,60,85,98.31
pune,11,0.7,1,47.81,1,1.34,0.326,0.318,0.064,55,65,60.0
pune,3,0.9,1,50.69,5,2.58,0.174,0.066,0.064,55,65,67.06
bangalore,11,0.7,9,50.97,4,1.07,0.432,0.374,0.059,58,80,68.16
chennai,1,0.7,1,35.43,0,3.69,0.782,0.583,0.099,62,95,76.77
delhi,3,0.9,1,34.4,0,2.15,0.408,0.91,0.065,60,85,89.92
chennai,3,0.9,1,56.28,2,1.86,0.673,0.594,0.076,62,95,100.41
mumbai,4,0.9,1,60.27,2,1.97,0.786,0.223,0.076,65,100,106.93
chennai,4,0.9,5,58.66,0,3.39,0.735,0.417,0.06,62,95,90.6
pune,11,0.7,1,59.86,2,4.76,0.335,0.237,0.012,55,65,60.0
bangalore,2,0.8,1,57.79,2,3.57,0.157,0.333,0.084,58,80,68.13
bangalore,3,0.9,5,56.94,2,1.3,0.318,0.482,0.032,58,80,82.63
bangalore,10,0.8,9,74.39,3,4.7,0.255,0.334,0.058,58,80,62.88
chennai,9,1.0,1,49.58,1,4.7,0.726,0.524,0.078,62,95,111.96
mumbai,1,0.7,5,86.83,0,4.61,0.802,0.067,0.113,65,100,73.69
chennai,11,0.7,1,78.59,0,2.46,0.753,0.423,0.068,62,95,72.46
delhi,7,1.5,1,71.15,4,0.11,0.419,0.842,0.054,60,85,120.0
chennai,10,0.8,1,47.67,2,2.95,0.713,0.54,0.062,62,95,92.72
delhi,6,1.5,1,76.95,1,4.54,0.386,0.779,0.07,60,85,120.0
chennai,0,0.7,5,63.47,0,2.41,0.921,0.427,0.093,62,95,71.36
mumbai,9,1.0,1,64.25,1,4.81,0.784,0.471,0.119,65,100,119.37
delhi,0,0.7,5,66.04,0,4.87,0.162,0.638,0.041,60,85,60.0
delhi,8,1.3,1,74.33,3,0.74,0.409,0.752,0.073,60,85,120.0
mumbai,10,0.8,9,67.18,1,3.84,0.807,0.368,0.144,65,100,89.34
bangalore,1,0.7,9,52.35,0,1.58,0.243,0.223,0.065,58,80,60.0
delhi,4,0.9,9,62.2,2,1.43,0.387,0.658,0.093,60,85,83.89
pune,10,0.8,1,49.58,0,3.17,0.215,0.324,0.054,55,65,60.0
bangalore,2,0.8,1,49.85,3,2.66,0.336,0.087,0.018,58,80,73.35
pune,11,0.7,1,70.25,2,2.91,0.233,0.374,0.04,55,65,60.0
mumbai,1,0.7,5,70.79,1,2.04,0.93,0.206,0.092,65,100,79.3
bangalore,8,1.3,9,56.92,3,0.96,0.173,0.347,0.049,58,80,110.64
bangalore,4,0.9,9,65.98,2,1.16,0.176,0.366,0.063,58,80,72.52
delhi,9,1.0,5,72.29,4,3.13,0.222,0.685,0.068,60,85,97.35
bangalore,3,0.9,5,56.02,0,2.04,0.424,0.306,0.039,58,80,79.2
mumbai,1,0.7,5,60.91,1,0.84,0.752,0.098,0.075,65,100,79.26
bangalore,4,0.9,1,40.62,2,2.97,0.159,0.301,0.072,58,80,77.99
delhi,3,0.9,1,59.02,1,3.49,0.478,0.659,0.088,60,85,87.95
chennai,4,0.9,9,46.28,3,3.51,0.67,0.566,0.051,62,95,97.39
chennai,9,1.0,9,77.5,4,4.23,0.988,0.519,0.077,62,95,116.82
bangalore,2,0.8,1,51.96,3,4.51,0.404,0.643,0.057,58,80,68.93
mumbai,1,0.7,5,74.44,4,2.79,0.721,0.356,0.072,65,100,83.76
chennai,8,1.3,1,72.04,1,2.54,0.963,0.483,0.108,62,95,120.0
bangalore,0,0.7,9,51.64,2,0.82,0.31,0.278,0.05,58,80,66.4
mumbai,3,0.9,5,69.54,5,3.44,0.861,0.228,0.12,65,100,104.07
mumbai,2,0.8,1,65.43,1,2.68,0.728,0.169,0.091,65,100,88.68
chennai,9,1.0,1,62.26,2,2.91,0.75,0.577,0.087,62,95,112.15
pune,11,0.7,1,46.53,1,4.44,0.179,0.265,0.042,55,65,60.0
mumbai,8,1.3,5,43.43,2,4.15,0.756,0.025,0.074,65,100,120.0
delhi,1,0.7,1,73.69,1,3.37,0.449,0.768,0.074,60,85,73.77
mumbai,9,1.0,1,69.85,6,1.49,0.886,0.236,0.095,65,100,120.0
chennai,9,1.0,5,76.4,4,1.9,0.546,0.338,0.095,62,95,113.98
pune,4,0.9,9,53.98,1,4.52,0.202,0.143,0.047,55,65,60.0
bangalore,5,1.3,5,60.92,5,0.93,0.318,0.201,0.045,58,80,120.0
delhi,7,1.5,1,49.54,3,3.67,0.39,0.665,0.041,60,85,120.0
bangalore,6,1.5,9,62.3,4,0.9,0.288,0.322,0.051,58,80,120.0
bangalore,9,1.0,9,67.32,2,3.75,0.114,0.276,0.067,58,80,81.13
pune,10,0.8,1,54.75,1,4.32,0.331,0.154,0.033,55,65,60.0
pune,11,0.7,1,39.94,0,1.13,0.062,0.265,0.05,55,65,60.0
delhi,6,1.5,1,63.69,3,0.27,0.258,0.73,0.11,60,85,120.0
bangalore,8,1.3,1,68.78,2,3.18,0.186,0.441,0.066,58,80,112.99
bangalore,5,1.3,5,49.41,1,3.05,0.359,0.346,0.08,58,80,109.86
chennai,8,1.3,9,46.33,1,1.27,0.877,0.535,0.089,62,95,120.0
pune,6,1.5,1,46.14,2,1.33,0.265,0.291,0.014,55,65,106.21
mumbai,1,0.7,5,100.15,0,4.95,0.749,0.206,0.068,65,100,78.31
chennai,9,1.0,9,81.62,4,3.12,0.919,0.572,0.046,62,95,114.6
pune,2,0.8,5,50.05,3,4.53,0.344,0.235,0.028,55,65,60.0
chennai,4,0.9,9,65.2,5,1.74,0.64,0.538,0.102,62,95,102.08
chennai,2,0.8,1,59.39,0,0.54,0.474,0.49,0.117,62,95,87.77
pune,9,1.0,1,59.05,2,3.96,0.149,0.098,0.065,55,65,67.77
pune,7,1.5,1,32.34,4,1.54,0.273,0.19,0.032,55,65,108.19
bangalore,0,0.7,1,36.79,2,1.22,0.365,0.329,0.045,58,80,62.67
delhi,8,1.3,1,59.0,2,3.89,0.178,0.853,0.066,60,85,120.0
pune,1,0.7,1,67.95,3,1.6,0.123,0.132,0.028,55,65,60.0
bangalore,3,0.9,1,47.67,0,2.08,0.308,0.205,0.057,58,80,74.44
delhi,11,0.7,1,85.53,2,4.4,0.477,0.597,0.066,60,85,63.53
bangalore,6,1.5,1,54.05,3,0.25,0.38,0.307,0.062,58,80,120.0
bangalore,9,1.0,5,59.47,0,2.96,0.443,0.448,0.069,58,80,86.12
bangalore,6,1.5,1,66.89,4,1.11,0.449,0.238,0.072,58,80,120.0
chennai,2,0.8,9,58.61,0,1.74,0.546,0.675,0.083,62,95,81.09
delhi,10,0.8,5,52.33,3,4.5,0.344,0.613,0.03,60,85,75.69
bangalore,3,0.9,5,42.32,2,0.69,0.229,0.244,0.029,58,80,74.03
chennai,3,0.9,5,42.65,1,3.62,0.491,0.685,0.07,62,95,96.04
chennai,4,0.9,5,59.08,2,3.66,0.721,0.339,0.097,62,95,99.02
pune,6,1.5,9,51.37,4,0.82,0.121,0.244,0.047,55,65,102.71
mumbai,7,1.5,1,63.38,2,1.17,0.58,0.289,0.079,65,100,120.0
mumbai,8,1.3,5,56.62,3,1.89,0.992,0.024,0.141,65,100,120.0
chennai,9,1.0,5,56.24,1,1.22,0.629,0.552,0.105,62,95,105.22
pune,9,1.0,1,59.22,0,0.32,0.11,0.284,0.063,55,65,66.47
chennai,6,1.5,9,45.28,1,1.74,0.823,0.457,0.069,62,95,120.0
delhi,6,1.5,5,52.96,2,3.63,0.489,0.522,0.068,60,85,120.0
bangalore,4,0.9,1,55.66,0,1.18,0.189,0.333,0.056,58,80,81.08
bangalore,7,1.5,1,51.88,1,4.43,0.475,0.163,0.009,58,80,120.0
bangalore,10,0.8,5,54.16,2,3.26,0.198,0.339,0.067,58,80,65.99
delhi,8,1.3,5,35.92,0,3.81,0.226,0.737,0.084,60,85,112.72
bangalore,2,0.8,9,80.81,1,1.23,0.334,0.098,0.058,58,80,66.56
pune,3,0.9,5,54.43,0,1.66,0.267,0.204,0.028,55,65,60.0
delhi,11,0.7,5,48.68,0,3.59,0.363,0.742,0.066,60,85,60.61
pune,10,0.8,1,53.5,0,1.86,0.233,0.268,0.047,55,65,60.0
mumbai,3,0.9,5,53.68,1,1.99,0.609,0.32,0.087,65,100,105.45
bangalore,0,0.7,1,71.86,1,3.09,0.306,0.501,0.037,58,80,61.38
mumbai,1,0.7,1,56.36,4,4.67,0.783,0.47,0.077,65,100,81.02
delhi,6,1.5,1,80.23,6,2.39,0.43,0.476,0.075,60,85,120.0
bangalore,5,1.3,5,57.65,3,2.03,0.446,0.334,0.059,58,80,114.26
delhi,7,1.5,5,44.57,4,3.67,0.566,0.805,0.072,60,85,120.0
delhi,3,0.9,9,60.32,0,2.35,0.416,0.701,0.104,60,85,78.27
pune,4,0.9,1,51.74,2,3.24,0.285,0.134,0.029,55,65,60.42
mumbai,3,0.9,1,78.45,2,3.56,0.751,0.239,0.086,65,100,107.12
mumbai,6,1.5,9,54.46,4,0.19,0.914,0.238,0.081,65,100,120.0
chennai,1,0.7,1,68.57,2,3.26,0.713,0.705,0.099,62,95,81.55
pune,8,1.3,5,61.65,2,0.95,0.332,0.195,0.045,55,65,86.32
pune,4,0.9,9,44.18,2,2.88,0.33,0.158,0.05,55,65,60.0
chennai,11,0.7,1,63.74,0,4.55,0.727,0.476,0.103,62,95,73.29
bangalore,8,1.3,5,50.44,3,3.17,0.335,0.306,0.019,58,80,114.39
delhi,3,0.9,9,71.82,2,0.7,0.419,0.724,0.071,60,85,88.6
chennai,9,1.0,1,77.78,3,4.41,0.643,0.563,0.09,62,95,107.19
chennai,3,0.9,1,65.75,1,3.08,0.67,0.562,0.091,62,95,98.63
pune,6,1.5,5,59.71,1,2.12,0.297,0.21,0.038,55,65,96.06
chennai,5,1.3,5,49.29,5,0.36,0.794,0.595,0.089,62,95,120.0
chennai,11,0.7,9,48.93,1,1.92,0.593,0.578,0.099,62,95,74.85
chennai,7,1.5,1,65.77,0,3.86,0.822,0.462,0.099,62,95,120.0
bangalore,9,1.0,1,73.53,0,2.88,0.222,0.269,0.054,58,80,79.14
bangalore,3,0.9,1,46.47,2,4.86,0.286,0.284,0.061,58,80,71.43
bangalore,1,0.7,1,42.65,1,2.51,0.321,0.393,0.091,58,80,60.0
delhi,5,1.3,9,58.12,1,1.42,0.305,0.727,0.114,60,85,117.83
chennai,8,1.3,1,55.29,2,3.6,0.767,0.441,0.072,62,95,120.0
bangalore,11,0.7,1,42.77,1,1.25,0.29,0.237,0.069,58,80,63.54
delhi,1,0.7,5,78.92,2,2.4,0.537,0.724,0.037,60,85,68.92
chennai,1,0.7,9,47.16,0,1.53,0.74,0.453,0.085,62,95,67.81
pune,11,0.7,1,66.61,1,1.38,0.108,0.0,0.035,55,65,60.0
mumbai,10,0.8,1,57.66,3,0.53,0.658,0.268,0.11,65,100,98.31
delhi,5,1.3,1,69.76,4,1.75,0.428,0.78,0.065,60,85,120.0
pune,5,1.3,1,45.37,4,0.45,0.241,0.253,0.024,55,65,94.64
mumbai,6,1.5,5,64.79,2,2.69,0.728,0.312,0.111,65,100,120.0
bangalore,0,0.7,1,68.76,2,1.6,0.449,0.112,0.023,58,80,61.85
chennai,0,0.7,9,72.66,1,4.63,0.89,0.466,0.068,62,95,63.35
mumbai,8,1.3,1,54.93,1,0.33,0.744,0.218,0.102,65,100,120.0
mumbai,0,0.7,5,67.8,0,2.52,0.738,0.171,0.09,65,100,74.86
mumbai,2,0.8,1,55.54,3,3.66,0.892,0.255,0.073,65,100,102.3
pune,2,0.8,5,50.55,2,0.98,0.261,0.255,0.056,55,65,60.0
delhi,6,1.5,9,56.75,1,2.43,0.493,0.601,0.07,60,85,120.0
bangalore,11,0.7,1,64.87,2,3.53,0.345,0.376,0.043,58,80,60.67
chennai,7,1.5,5,69.63,4,4.24,0.789,0.544,0.092,62,95,120.0
chennai,7,1.5,1,65.36,2,1.05,0.558,0.599,0.1,62,95,120.0
chennai,0,0.7,9,76.05,2,4.51,0.662,0.439,0.036,62,95,71.02
pune,11,0.7,1,64.88,2,4.04,0.184,0.195,0.045,55,65,60.0
pune,4,0.9,1,58.65,1,1.08,0.231,0.381,0.042,55,65,60.0
mumbai,2,0.8,1,64.02,4,2.95,0.886,0.194,0.102,65,100,95.37
pune,3,0.9,9,55.96,3,2.24,0.123,0.167,0.041,55,65,64.35
pune,8,1.3,5,68.17,4,1.66,0.053,0.371,0.03,55,65,93.45
pune,6,1.5,5,68.31,4,1.53,0.248,0.222,0.025,55,65,102.84
bangalore,5,1.3,5,59.43,2,2.87,0.298,0.195,0.051,58,80,104.93
mumbai,7,1.5,1,63.41,2,4.86,1.0,0.147,0.073,65,100,120.0
pune,8,1.3,1,48.85,3,1.22,0.084,0.107,0.033,55,65,85.45
chennai,4,0.9,1,77.29,1,1.89,0.66,0.405,0.096,62,95,97.99
chennai,11,0.7,1,65.71,1,0.82,0.644,0.584,0.049,62,95,80.1
delhi,0,0.7,9,59.87,2,1.09,0.458,0.693,0.084,60,85,69.97
delhi,6,1.5,5,59.23,5,2.41,0.513,0.735,0.038,60,85,120.0
pune,5,1.3,5,56.07,3,1.8,0.195,0.113,0.044,55,65,92.82
pune,2,0.8,9,52.98,2,2.36,0.215,0.247,0.061,55,65,60.0
delhi,5,1.3,5,52.32,2,2.72,0.404,0.8,0.051,60,85,120.0
delhi,0,0.7,1,57.64,2,3.82,0.307,0.804,0.056,60,85,62.84
pune,0,0.7,5,45.31,1,0.52,0.309,0.071,0.057,55,65,60.0
mumbai,10,0.8,9,62.21,3,4.66,0.782,0.296,0.083,65,100,87.43
delhi,2,0.8,5,82.49,1,3.18,0.401,0.583,0.053,60,85,71.8
mumbai,4,0.9,9,51.25,5,4.95,0.676,0.232,0.12,65,100,105.56
chennai,3,0.9,1,78.02,3,2.67,0.626,0.552,0.062,62,95,103.17
bangalore,0,0.7,1,65.94,1,0.9,0.48,0.495,0.072,58,80,62.14
bangalore,3,0.9,5,40.45,0,4.04,0.453,0.268,0.045,58,80,70.51
mumbai,0,0.7,5,75.73,1,4.56,0.827,0.113,0.093,65,100,72.51
chennai,1,0.7,1,76.87,2,1.88,0.693,0.415,0.072,62,95,82.22
mumbai,1,0.7,1,56.33,1,1.04,0.844,0.08,0.092,65,100,88.71
pune,11,0.7,9,63.36,2,3.5,0.167,0.3,0.052,55,65,60.0
mumbai,3,0.9,1,69.69,4,4.87,0.745,0.336,0.067,65,100,100.95
bangalore,10,0.8,5,31.81,1,4.07,0.228,0.262,0.062,58,80,60.33
pune,1,0.7,5,58.02,2,0.74,0.419,0.239,0.025,55,65,60.0
chennai,8,1.3,1,52.86,2,3.39,0.7,0.34,0.081,62,95,120.0
chennai,11,0.7,1,58.36,3,4.24,0.592,0.553,0.103,62,95,79.05
bangalore,0,0.7,9,73.37,0,2.08,0.335,0.337,0.067,58,80,60.0
mumbai,1,0.7,5,52.65,2,0.77,0.894,0.14,0.081,65,100,82.74
bangalore,0,0.7,9,60.85,0,2.99,0.345,0.319,0.067,58,80,60.0
chennai,4,0.9,5,67.03,1,4.45,0.739,0.611,0.084,62,95,100.16
chennai,4,0.9,5,82.75,4,1.55,0.653,0.515,0.047,62,95,103.83
bangalore,11,0.7,5,53.05,0,1.89,0.263,0.367,0.071,58,80,60.0
delhi,3,0.9,1,45.22,2,2.04,0.553,0.891,0.084,60,85,96.99
pune,1,0.7,1,75.57,0,4.75,0.174,0.012,0.049,55,65,60.0
bangalore,6,1.5,1,58.97,3,1.88,0.236,0.112,0.031,58,80,120.0
bangalore,3,0.9,1,62.49,3,4.17,0.337,0.135,0.054,58,80,74.17
mumbai,5,1.3,5,65.28,2,3.14,0.793,0.164,0.099,65,100,120.0
bangalore,9,1.0,1,45.36,5,4.96,0.308,0.416,0.052,58,80,91.12
pune,6,1.5,9,36.94,4,0.55,0.131,0.243,-0.002,55,65,103.07
bangalore,2,0.8,5,30.0,2,1.37,0.428,0.224,0.081,58,80,69.5
pune,0,0.7,1,65.86,1,4.1,0.196,0.251,0.052,55,65,60.0
bangalore,4,0.9,9,60.53,1,1.33,0.258,0.287,0.051,58,80,77.62
chennai,10,0.8,5,62.15,3,1.46,0.68,0.574,0.041,62,95,92.49
chennai,0,0.7,9,68.16,0,2.81,0.634,0.427,0.074,62,95,67.87
delhi,6,1.5,1,68.2,2,1.29,0.214,0.624,0.073,60,85,120.0
mumbai,5,1.3,1,74.9,4,3.75,0.848,0.263,0.083,65,100,120.0
pune,2,0.8,1,60.72,0,0.71,0.33,0.178,0.027,55,65,60.0
delhi,3,0.9,5,68.76,1,2.95,0.486,0.767,0.075,60,85,89.09
delhi,7,1.5,9,60.56,3,0.29,0.672,0.658,0.033,60,85,120.0
pune,11,0.7,9,30.0,0,3.34,0.234,0.0,0.028,55,65,60.0
mumbai,3,0.9,1,63.67,3,1.37,0.755,0.138,0.086,65,100,105.6
mumbai,1,0.7,5,75.88,0,1.43,0.814,0.289,0.119,65,100,80.71
bangalore,4,0.9,5,40.57,2,0.26,0.343,0.291,0.036,58,80,83.6
delhi,3,0.9,5,58.39,0,1.8,0.313,0.645,0.074,60,85,79.73
pune,1,0.7,1,52.07,1,1.34,0.172,0.151,0.028,55,65,60.0
mumbai,9,1.0,5,77.46,2,2.44,0.676,0.186,0.051,65,100,112.4
mumbai,9,1.0,1,74.85,3,2.38,0.937,0.302,0.052,65,100,120.0
pune,6,1.5,1,54.83,1,0.33,0.217,0.125,0.016,55,65,104.38
bangalore,8,1.3,5,78.58,0,2.65,0.143,0.219,0.061,58,80,102.69
delhi,2,0.8,1,82.86,0,2.11,0.344,0.69,0.082,60,85,76.36
delhi,9,1.0,1,79.69,1,2.47,0.288,0.706,0.056,60,85,94.61
delhi,4,0.9,5,64.63,1,0.93,0.307,0.557,0.125,60,85,78.79
bangalore,2,0.8,1,58.12,3,0.1,0.321,0.324,0.049,58,80,73.44
chennai,3,0.9,5,51.39,1,4.5,0.685,0.619,0.084,62,95,93.34
bangalore,7,1.5,5,40.75,3,4.34,0.189,0.18,0.064,58,80,119.15
